237,164,237,207,312,164,312,207,-154,-139,-154,-14,-55,-139,-55,-14,298.823,
210,148,210,207,306,148,306,207,-127,-123,-127,-14,-49,-123,-49,-14,255.172,
195,138,195,208,310,138,310,208,-112,-113,-112,-15,-53,-113,-53,-15,231.646,
180,126,180,208,305,126,305,208,-97,-101,-97,-15,-48,-101,-48,-15,204.326,
169,117,169,208,293,117,293,208,-86,-92,-86,-15,-36,-92,-36,-15,182.321,
157,85,157,204,272,85,272,204,-74,-60,-74,-11,-15,-60,-15,-11,136.007,
228,73,228,178,316,73,316,178,-145,-48,-145,15,-59,-48,-59,15,224.419,
256,52,256,138,316,52,316,138,-173,-27,-173,55,-59,-27,-59,55,260.427,
249,85,249,149,307,85,307,149,-166,-60,-166,44,-50,-60,-50,44,258.356,
238,135,238,193,286,135,286,193,-155,-110,-155,0,-29,-110,-29,0,270.353,
244,186,244,208,292,186,292,208,-161,-161,-161,-15,-35,-161,-35,-15,324.244,
272,111,272,192,316,111,316,192,-189,-86,-189,1,-59,-86,-59,1,299.526,
257,96,257,171,316,96,316,171,-174,-71,-174,22,-59,-71,-59,22,273.128,
245,86,245,161,312,86,312,161,-162,-61,-162,32,-55,-61,-55,32,252.941,
239,85,239,159,305,85,305,159,-156,-60,-156,34,-48,-60,-48,34,243.582,
238,84,238,157,305,84,305,157,-155,-59,-155,36,-48,-59,-48,36,242.099,
248,90,248,168,315,90,315,168,-165,-65,-165,25,-58,-65,-58,25,258.629,
218,109,218,186,286,109,286,186,-135,-84,-135,7,-29,-84,-29,7,226.83,
235,117,235,194,306,117,306,194,-152,-92,-152,-1,-49,-92,-49,-1,256.004,
245,90,245,169,315,90,315,169,-162,-65,-162,24,-58,-65,-58,24,254.712,
202,27,202,106,281,27,281,106,-119,-2,-119,87,-24,-2,-24,87,190.984,
188,0,188,74,270,0,270,74,-105,25,-105,119,-13,25,-13,119,193.985,
242,6,242,150,316,6,316,150,-159,19,-159,43,-59,19,-59,43,237.937,
248,42,248,183,316,42,316,183,-165,-17,-165,10,-59,-17,-59,10,242.093,
204,26,204,166,316,26,316,166,-121,-1,-121,27,-59,-1,-59,27,183.014,
188,79,188,198,302,79,302,198,-105,-54,-105,-5,-45,-54,-45,-5,173.009,
193,104,193,207,299,104,299,207,-110,-79,-110,-14,-42,-79,-42,-14,196.576,
199,117,199,207,304,117,304,207,-116,-92,-116,-14,-47,-92,-47,-14,215.047,
201,130,201,208,310,130,310,208,-118,-105,-118,-15,-53,-105,-53,-15,230.07,
204,132,204,208,312,132,312,208,-121,-107,-121,-15,-55,-107,-55,-15,235.436,
204,134,204,208,311,134,311,208,-121,-109,-121,-15,-54,-109,-54,-15,237.034,
