Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr,
332,134,104,134,138,167,104,167,138,0.000136591,0.932276,0.118373,0.0180118,2.11639,0,23254,23254,23254,23254,23254,0,74,84,74,-59,-78,84,-78,-59,0.0946643,0.195284,0.0154297,0.00221765,-0.0288495,0.0129572,23254,72999,14007,-355,-4621,-1729,128,218.561,,
332,134,104,134,138,167,104,167,138,0.000136591,0.950228,0.0811545,0.0217818,2.12037,0,23561,23561,23561,23561,23561,0,74,84,74,-59,-78,84,-78,-59,0.0959171,0.197708,0.0157931,0.00191201,-0.0317,0.0139457,23561,73905,14337,-306,-5078,-1861,128,218.561,,
328,134,110,134,143,168,110,168,143,0.000136591,0.977874,0.0470035,0.0215723,2.12141,0,3786,3786,3786,3786,3786,0,74,90,74,-54,-77,90,-77,-54,0.0154155,0.157157,-0.199288,0.00146215,0.0781768,0.00534742,3786,58747,-180919,-234,12524,-713,128,223.665,,
328,134,114,134,147,168,114,168,147,0.00546365,1.00121,0.0161419,0.0215723,2.12141,0,3484,3484,3484,3484,3484,0,74,94,74,-50,-77,94,-77,-50,0.0141866,0.156838,-0.197722,0.0016231,0.0763121,0.00595936,3484,58627,-179498,-260,12225,-795,128,227.636,,
319,132,119,132,153,168,119,168,153,0.0103809,1.0241,-0.0110976,0.0215723,2.12183,0,-1564,-1564,-1564,-1564,-1564,0,72,99,72,-44,-77,99,-77,-44,-0.00636707,0.11874,-0.255821,0.000733015,0.108705,0.00388166,-1564,44386,-232242,-117,17415,-518,128,231.441,,
328,134,122,134,156,168,122,168,156,0.0113371,1.04107,-0.0369696,0.0215723,2.1233,0,7360,7360,7360,7360,7360,0,74,102,74,-41,-77,102,-77,-41,0.0299648,0.184438,-0.114053,0.00269695,0.0287366,0.00902329,7360,68945,-103541,-432,4603,-1204,128,236.015,,
328,134,125,134,160,168,125,168,160,0.0117469,1.06207,-0.065281,0.0247139,2.12581,0,10397,10397,10397,10397,10397,0,74,105,74,-37,-77,105,-77,-37,0.0423249,0.211945,-0.045274,0.00348373,-0.0118985,0.0111426,10397,79227,-41101,-558,-1906,-1487,128,239.278,,
328,134,125,134,160,168,125,168,160,0.0143421,1.07894,-0.091153,0.031416,2.12749,0.000251328,10595,10595,10595,10595,10595,0,74,105,74,-37,-77,105,-77,-37,0.0431326,0.213021,-0.042666,0.00373078,-0.0156805,0.0119521,10595,79629,-38733,-597,-2512,-1595,127,239.278,,
314,134,130,134,163,171,130,171,163,0.0189862,1.11153,-0.11307,0.031416,2.12749,0.000251328,-5690,-5690,-5690,-5690,-5690,0,74,110,74,-34,-74,110,-74,-34,-0.0231655,0.0558602,-0.36155,-0.00122308,0.165027,0.00322544,-5690,20881,-328226,195,26438,-430,127,243.639,,
319,135,130,135,166,171,130,171,166,0.0239035,1.13451,-0.132363,0.031416,2.12749,0.000251328,4569,4569,4569,4569,4569,0,75,110,75,-31,-74,110,-74,-31,0.0186023,0.167967,-0.106653,0.00343482,0.0222134,0.00882422,4569,62788,-96823,-550,3558,-1178,128,243.85,,
