Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr,
166,128,55,128,131,204,55,204,131,-0.0290939,1.83984,-0.447928,0.0171741,2.11178,-0.00502656,-2190,-2190,-2190,-2190,-2190,0,68,35,68,-66,-41,35,-41,-66,-0.00891908,0.0386649,-0.0335173,-0.00148039,-0.0109808,-0.00460771,-2190,14453,-30428,237,-1759,615,129,143.67,,
166,128,54,128,131,204,54,204,131,-0.0297769,1.84433,-0.451809,0.0165458,2.11178,-0.00653453,-2681,-2681,-2681,-2681,-2681,0,68,34,68,-66,-41,34,-41,-66,-0.0109147,0.0402436,-0.036592,-0.00166219,-0.0115915,-0.00533047,-2681,15043,-33219,266,-1857,711,130,142.948,,
163,127,54,127,131,204,54,204,131,-0.0312794,1.85178,-0.45665,0.0159174,2.11115,-0.00753984,-1996,-1996,-1996,-1996,-1996,0,67,34,67,-66,-41,34,-41,-66,-0.00812565,0.0371716,-0.0320817,-0.00138489,-0.0111106,-0.00436878,-1996,13895,-29124,221,-1779,583,130,142,,
160,126,53,126,130,204,53,204,130,-0.0336015,1.86309,-0.461123,0.015708,2.11094,-0.0080425,-1437,-1437,-1437,-1437,-1437,0,66,33,66,-67,-41,33,-41,-67,-0.00585208,0.0346327,-0.0284958,-0.00118906,-0.0108578,-0.00366266,-1437,12946,-25869,190,-1739,488,128,140.819,,
151,124,50,124,128,205,50,205,128,-0.034421,1.86309,-0.465373,0.0154986,2.11094,-0.00854515,-576,-576,-576,-576,-576,0,64,30,64,-69,-40,30,-40,-69,-0.00234512,0.0285398,-0.0205465,-0.000816681,-0.00913041,-0.00230106,-576,10668,-18652,130,-1462,307,130,137.306,,
154,124,50,124,130,204,50,204,130,-0.0345576,1.86497,-0.468404,0.0152891,2.11094,-0.00879648,-1403,-1403,-1403,-1403,-1403,0,64,30,64,-67,-41,30,-41,-67,-0.00571467,0.0326721,-0.0291311,-0.000980509,-0.0106743,-0.00339789,-1403,12213,-26446,157,-1710,453,129,136.905,,
154,124,50,124,130,204,50,204,130,-0.0346942,1.86856,-0.471841,0.0152891,2.10989,-0.00904781,-1411,-1411,-1411,-1411,-1411,0,64,30,64,-67,-41,30,-41,-67,-0.00574689,0.0327606,-0.0290756,-0.000990503,-0.0108177,-0.00343523,-1411,12246,-26395,158,-1733,458,128,136.905,,
151,123,50,123,129,204,50,204,129,-0.0352406,1.87332,-0.475241,0.0144514,2.10989,-0.00929914,-785,-785,-785,-785,-785,0,63,30,63,-68,-41,30,-41,-68,-0.00319661,0.0295546,-0.0229453,-0.000826301,-0.00984526,-0.00255913,-785,11047,-20830,132,-1577,341,131,136.47,,
151,123,50,123,129,204,50,204,129,-0.0360601,1.87709,-0.478974,0.0140325,2.10906,-0.00955046,-796,-796,-796,-796,-796,0,63,30,63,-68,-41,30,-41,-68,-0.00324311,0.0296486,-0.0229006,-0.000839035,-0.00998413,-0.00260814,-796,11083,-20789,134,-1599,348,128,136.47,,
151,123,49,123,129,204,49,204,129,-0.0364699,1.88023,-0.481857,0.0134042,2.10864,-0.00980179,-1038,-1038,-1038,-1038,-1038,0,63,29,63,-68,-41,29,-41,-68,-0.00422729,0.0307111,-0.0256383,-0.00086686,-0.0105835,-0.00294515,-1038,11480,-23275,138,-1695,393,128,135.82,,
151,122,48,122,129,203,48,203,129,-0.0367431,1.88418,-0.485147,0.0129853,2.10843,-0.0100531,-1025,-1025,-1025,-1025,-1025,0,62,28,62,-68,-42,28,-42,-68,-0.00417613,0.0311215,-0.0279782,-0.000769909,-0.0110165,-0.00292255,-1025,11633,-25399,123,-1764,390,130,134.878,,
151,122,48,122,129,203,48,203,129,-0.0372894,1.88768,-0.488806,0.0127758,2.10822,-0.0100531,-1036,-1036,-1036,-1036,-1036,0,62,28,62,-68,-42,28,-42,-68,-0.00421839,0.031214,-0.027934,-0.000781304,-0.011153,-0.00296901,-1036,11668,-25359,125,-1786,396,129,134.878,,
151,122,48,122,129,203,48,203,129,-0.0375626,1.89262,-0.492058,0.012357,2.1078,-0.0105558,-1046,-1046,-1046,-1046,-1046,0,62,28,62,-68,-42,28,-42,-68,-0.00425817,0.0313216,-0.0278629,-0.000797437,-0.0113321,-0.00301204,-1046,11708,-25294,127,-1815,402,128,134.878,,
145,121,48,121,128,204,48,204,128,-0.0378358,1.89989,-0.495902,0.0113098,2.10717,-0.0115611,-502,-502,-502,-502,-502,0,61,28,61,-69,-41,28,-41,-69,-0.00204371,0.026736,-0.0184544,-0.000745947,-0.00961114,-0.00213778,-502,9994,-16753,119,-1539,285,127,133.854,,
145,121,45,121,128,204,45,204,128,-0.038109,1.90698,-0.499191,0.0108909,2.10675,-0.0120637,-979,-979,-979,-979,-979,0,61,25,61,-69,-41,25,-41,-69,-0.00398641,0.0294878,-0.0265107,-0.000718136,-0.0114718,-0.00284257,-979,11022,-24067,115,-1837,379,129,132.061,,
145,122,43,122,127,205,43,205,127,-0.0383822,1.90698,-0.501779,0.0108909,2.10675,-0.0123151,-1399,-1399,-1399,-1399,-1399,0,62,23,62,-70,-40,23,-40,-70,-0.00569564,0.0313713,-0.0305228,-0.000798846,-0.0124846,-0.00347213,-1399,11726,-27709,127,-2000,463,131,131.814,,
139,120,43,120,127,205,43,205,127,-0.0386553,1.9086,-0.505549,0.0106814,2.10654,-0.0125664,-769,-769,-769,-769,-769,0,60,23,60,-70,-40,23,-40,-70,-0.00313186,0.0266669,-0.02255,-0.000631726,-0.0106021,-0.00242613,-769,9968,-20471,101,-1698,323,131,129.95,,
139,120,43,120,127,205,43,205,127,-0.0392017,1.91326,-0.508949,0.010472,2.10612,-0.0130691,-779,-779,-779,-779,-779,0,60,23,60,-70,-40,23,-40,-70,-0.00317154,0.0267616,-0.022496,-0.000645883,-0.0107507,-0.00247046,-779,10003,-20422,103,-1722,329,129,129.95,,
139,120,44,120,127,205,44,205,127,-0.0394749,1.91587,-0.512423,0.0102626,2.10571,-0.0133204,-644,-644,-644,-644,-644,0,60,24,60,-70,-40,24,-40,-70,-0.0026223,0.025921,-0.0197532,-0.000680664,-0.0101949,-0.00229381,-644,9689,-17932,109,-1633,306,130,130.491,,
136,119,43,119,128,205,43,205,128,-0.0396115,1.91937,-0.51501,0.00963424,2.1055,-0.0133204,-680,-680,-680,-680,-680,0,59,23,59,-69,-40,23,-40,-69,-0.00277179,0.0255106,-0.021148,-0.000587598,-0.0104778,-0.00227452,-680,9536,-19198,94,-1678,303,130,128.491,,
136,119,43,119,128,205,43,205,128,-0.0396115,1.92278,-0.517967,0.00963424,2.10529,-0.0135717,-684,-684,-684,-684,-684,0,59,23,59,-69,-40,23,-40,-69,-0.0027855,0.0255716,-0.0211052,-0.000594369,-0.0105815,-0.00229141,-684,9558,-19159,95,-1695,305,129,128.491,,
136,119,43,119,128,205,43,205,128,-0.0396115,1.92538,-0.520369,0.00963424,2.10508,-0.0140744,-686,-686,-686,-686,-686,0,59,23,59,-69,-40,23,-40,-69,-0.00279607,0.0256196,-0.0210727,-0.000599137,-0.010662,-0.00230427,-686,9576,-19130,95,-1708,307,129,128.491,,
136,119,42,119,128,205,42,205,128,-0.0396115,1.92825,-0.523326,0.00900592,2.10508,-0.0143257,-794,-794,-794,-794,-794,0,59,22,59,-69,-40,22,-40,-69,-0.00323584,0.0264663,-0.0235106,-0.000560317,-0.0113891,-0.00246724,-794,9893,-21343,89,-1824,329,129,127.965,,
136,119,42,119,128,205,42,205,128,-0.0396115,1.93184,-0.52584,0.00900592,2.10487,-0.0148284,-799,-799,-799,-799,-799,0,59,22,59,-69,-40,22,-40,-69,-0.00325266,0.0265324,-0.023466,-0.000569975,-0.0114996,-0.00248823,-799,9918,-21303,91,-1842,332,129,127.965,,
136,119,42,119,128,205,42,205,128,-0.0396115,1.93561,-0.52924,0.00900592,2.10487,-0.0148284,-803,-803,-803,-803,-803,0,59,22,59,-69,-40,22,-40,-69,-0.00327091,0.0266069,-0.0234195,-0.000579185,-0.0116204,-0.00251071,-803,9946,-21261,92,-1861,335,130,127.965,,
131,118,41,118,128,206,41,206,128,-0.0396115,1.94118,-0.532308,0.00879648,2.10466,-0.0150797,-650,-650,-650,-650,-650,0,58,21,58,-69,-39,21,-39,-69,-0.00264769,0.0240774,-0.0195778,-0.000561151,-0.0106205,-0.00218742,-650,9000,-17773,89,-1701,292,130,125.913,,
128,118,39,118,127,207,39,207,127,-0.0396115,1.94621,-0.535117,0.00879648,2.10445,-0.0158337,-696,-696,-696,-696,-696,0,58,19,58,-70,-38,19,-38,-70,-0.00283615,0.0235245,-0.0192648,-0.000560313,-0.010703,-0.00222097,-696,8793,-17489,89,-1714,296,129,124.896,,
128,118,39,118,127,207,39,207,127,-0.0398847,1.94629,-0.537593,0.00879648,2.10445,-0.0163363,-699,-699,-699,-699,-699,0,58,19,58,-70,-38,19,-38,-70,-0.0028459,0.0235491,-0.0192694,-0.000557478,-0.0107228,-0.00223044,-699,8802,-17493,89,-1717,297,131,124.896,,
128,118,38,118,127,207,38,207,127,-0.0417969,1.94989,-0.54018,0.00879648,2.10424,-0.0170903,-829,-829,-829,-829,-829,0,58,18,58,-70,-38,18,-38,-70,-0.00337615,0.0245242,-0.0216554,-0.000536794,-0.0116044,-0.00248132,-829,9167,-19659,85,-1859,331,130,124.451,,
128,117,38,117,127,206,38,206,127,-0.0423433,1.95285,-0.542767,0.00858704,2.10382,-0.0170903,-660,-660,-660,-660,-660,0,57,18,57,-70,-39,18,-39,-70,-0.00269081,0.0240939,-0.0213267,-0.000460768,-0.0115133,-0.00226564,-660,9006,-19361,73,-1844,302,130,124.145,,
125,117,38,117,127,207,38,207,127,-0.0431629,1.95581,-0.54565,0.00795872,2.1034,-0.0173416,-638,-638,-638,-638,-638,0,57,18,57,-70,-38,18,-38,-70,-0.00259844,0.0226607,-0.0184062,-0.000519983,-0.0106804,-0.00217769,-638,8470,-16709,83,-1711,290,130,123.523,,
125,117,38,117,127,207,38,207,127,-0.0439824,1.95841,-0.548422,0.00795872,2.10319,-0.017593,-647,-647,-647,-647,-647,0,57,18,57,-70,-38,18,-38,-70,-0.00263402,0.022726,-0.0183894,-0.000528765,-0.010762,-0.00221785,-647,8495,-16694,84,-1724,296,131,123.523,,
123,116,38,116,128,207,38,207,128,-0.0445288,1.96146,-0.550455,0.00774928,2.10256,-0.0180956,-566,-566,-566,-566,-566,0,56,18,56,-69,-38,18,-38,-69,-0.00230593,0.0217282,-0.0174247,-0.000487488,-0.0104002,-0.00206461,-566,8122,-15818,78,-1666,275,129,122.037,,
123,116,37,116,127,207,37,207,127,-0.0448019,1.9638,-0.553301,0.00774928,2.10152,-0.0193523,-571,-571,-571,-571,-571,0,56,17,56,-70,-38,17,-38,-70,-0.00232782,0.0219034,-0.017689,-0.000478701,-0.0106184,-0.00209202,-571,8187,-16058,76,-1701,279,128,122.176,,
120,115,37,115,128,207,37,207,128,-0.0450751,1.96703,-0.555186,0.0073304,2.09942,-0.0198549,-490,-490,-490,-490,-490,0,55,17,55,-69,-38,17,-38,-69,-0.00199548,0.0207864,-0.0166373,-0.000429074,-0.0102322,-0.00191844,-490,7770,-15103,68,-1639,256,130,120.69,,
123,115,36,115,127,206,36,206,127,-0.0454849,1.96999,-0.557736,0.0073304,2.09775,-0.0203576,-486,-486,-486,-486,-486,0,55,16,55,-70,-39,16,-39,-70,-0.0019806,0.0223187,-0.0195343,-0.00034794,-0.0113977,-0.00202026,-486,8343,-17733,55,-1825,269,129,121.491,,
120,115,36,115,128,207,36,207,128,-0.0465776,1.97241,-0.560028,0.0073304,2.09586,-0.0213629,-553,-553,-553,-553,-553,0,55,16,55,-69,-38,16,-38,-69,-0.00225209,0.0215893,-0.0185942,-0.000372238,-0.0111488,-0.00207528,-553,8070,-16880,59,-1786,277,131,120.279,,
120,115,36,115,128,207,36,207,128,-0.0491729,1.97529,-0.562134,0.0073304,2.09502,-0.0213629,-574,-574,-574,-574,-574,0,55,16,55,-69,-38,16,-38,-69,-0.00234059,0.0216902,-0.0185965,-0.000386039,-0.0112457,-0.00217281,-574,8108,-16882,61,-1801,290,130,120.279,,
120,114,36,114,129,206,36,206,129,-0.0506754,1.9778,-0.56535,0.0073304,2.09209,-0.0213629,-441,-441,-441,-441,-441,0,54,16,54,-68,-39,16,-39,-68,-0.00179905,0.0217203,-0.0198039,-0.000251592,-0.0116724,-0.00205729,-441,8119,-17978,40,-1869,274,129,119.44,,
118,112,36,112,128,205,36,205,128,-0.0506754,1.98085,-0.567567,0.0073304,2.09104,-0.0216142,-223,-223,-223,-223,-223,0,52,16,52,-69,-40,16,-40,-69,-0.000908572,0.0195629,-0.0155482,-0.000299623,-0.0100768,-0.00164204,-223,7312,-14115,48,-1614,219,131,118.899,,
115,111,36,111,131,205,36,205,131,-0.050812,1.98543,-0.570155,0.0073304,2.09042,-0.0218655,-55,-55,-55,-55,-55,0,51,16,51,-66,-40,16,-40,-66,-0.000225866,0.0189268,-0.0170215,-0.000113768,-0.010579,-0.00147022,-55,7075,-15452,18,-1694,196,128,116.301,,
115,111,35,111,131,205,35,205,131,-0.0510851,1.98767,-0.572077,0.0073304,2.08979,-0.0223682,-15,-15,-15,-15,-15,0,51,15,51,-66,-40,15,-40,-66,-6.44303e-05,0.0193146,-0.0185196,-2.66232e-05,-0.0112437,-0.00147857,-15,7220,-16812,4,-1801,197,129,115.901,,
115,111,35,111,131,205,35,205,131,-0.0510851,1.99153,-0.574146,0.0073304,2.08895,-0.0226195,-15,-15,-15,-15,-15,0,51,15,51,-66,-40,15,-40,-66,-6.37695e-05,0.0193617,-0.0184824,-2.815e-05,-0.0113279,-0.00147928,-15,7237,-16778,4,-1814,197,129,115.901,,
113,111,35,111,130,206,35,206,130,-0.0512217,1.99288,-0.576881,0.0073304,2.08811,-0.0226195,-182,-182,-182,-182,-182,0,51,15,51,-67,-39,15,-39,-67,-0.000741174,0.0184756,-0.01548,-0.000211284,-0.0102538,-0.00157409,-182,6906,-14053,33,-1642,210,128,115.793,,
113,111,34,111,131,206,34,206,131,-0.0512217,1.99468,-0.579062,0.0073304,2.08623,-0.0228708,-123,-123,-123,-123,-123,0,51,14,51,-66,-39,14,-39,-66,-0.000504564,0.0191348,-0.018111,-5.80935e-05,-0.0113911,-0.00158861,-123,7152,-16441,9,-1824,212,128,114.839,,
110,110,35,110,130,206,35,206,130,-0.0512217,1.99791,-0.581095,0.00691152,2.0833,-0.0231222,-152,-152,-152,-152,-152,0,50,15,50,-67,-39,15,-39,-67,-0.000622255,0.0172421,-0.0132817,-0.000250338,-0.00941325,-0.00144153,-152,6445,-12057,40,-1508,192,127,114.917,,
110,110,35,110,131,206,35,206,131,-0.0512217,1.99988,-0.583423,0.00691152,2.08057,-0.0233735,-107,-107,-107,-107,-107,0,50,15,50,-66,-39,15,-39,-66,-0.000439602,0.017498,-0.0144176,-0.000173664,-0.0099453,-0.00143345,-107,6540,-13088,27,-1593,191,128,114.337,,
110,110,35,110,133,206,35,206,133,-0.0512217,2.00114,-0.584902,0.00691152,2.07953,-0.0233735,-18,-18,-18,-18,-18,0,50,15,50,-64,-39,15,-39,-64,-7.48536e-05,0.0178049,-0.0163174,-4.25743e-05,-0.0107491,-0.00140199,-18,6655,-14813,6,-1722,187,130,113.195,,
110,110,35,110,133,206,35,206,133,-0.0512217,2.00383,-0.586934,0.00691152,2.07827,-0.0238762,-18,-18,-18,-18,-18,0,50,15,50,-64,-39,15,-39,-64,-7.57702e-05,0.0178406,-0.0162913,-4.21533e-05,-0.0108109,-0.00140301,-18,6669,-14789,6,-1731,187,128,113.195,,
108,109,36,109,133,206,36,206,133,-0.0512217,2.00616,-0.589263,0.00691152,2.07764,-0.0243788,-33,-33,-33,-33,-33,0,49,16,49,-64,-39,16,-39,-64,-0.000135821,0.0164966,-0.0132073,-0.000161488,-0.00942229,-0.00129646,-33,6166,-11990,25,-1509,173,128,112.73,,
105,108,36,108,134,206,36,206,134,-0.0512217,2.00778,-0.590926,0.00649264,2.07659,-0.0246301,31,31,31,31,31,0,48,16,48,-63,-39,16,-39,-63,0.000129742,0.01551,-0.0123111,-0.000138932,-0.00897549,-0.00117936,31,5797,-11176,22,-1437,157,128,111.297,,
105,108,36,108,134,206,36,206,134,-0.0512217,2.01056,-0.592848,0.00649264,2.07576,-0.0248815,32,32,32,32,32,0,48,16,48,-63,-39,16,-39,-63,0.000130313,0.0155377,-0.0122875,-0.000138805,-0.00902665,-0.00117897,32,5808,-11155,22,-1446,157,128,111.297,,
105,108,36,108,134,206,36,206,134,-0.0512217,2.01227,-0.594844,0.00649264,2.07534,-0.0251328,31,31,31,31,31,0,48,16,48,-63,-39,16,-39,-63,0.000129992,0.0155597,-0.0122736,-0.000138144,-0.00906263,-0.00117918,31,5816,-11142,22,-1451,157,128,111.297,,
103,108,35,108,134,207,35,207,134,-0.0512217,2.01397,-0.595953,0.00649264,2.0745,-0.0251328,-35,-35,-35,-35,-35,0,48,15,48,-63,-38,15,-38,-63,-0.000143246,0.0152507,-0.0120209,-0.000153613,-0.00901056,-0.00123427,-35,5700,-10912,24,-1443,164,129,110.182,,
103,108,35,108,134,207,35,207,134,-0.0512217,2.01487,-0.597579,0.00649264,2.07261,-0.0253841,-35,-35,-35,-35,-35,0,48,15,48,-63,-38,15,-38,-63,-0.000145612,0.01527,-0.0120121,-0.000151059,-0.00903868,-0.0012355,-35,5708,-10904,24,-1448,164,127,110.182,,
103,108,36,108,134,207,36,207,134,-0.0512217,2.01729,-0.599464,0.00649264,2.07073,-0.0258868,-85,-85,-85,-85,-85,0,48,16,48,-63,-38,16,-38,-63,-0.000346181,0.0150455,-0.0109144,-0.000219489,-0.00851583,-0.00124104,-85,5624,-9908,35,-1364,165,128,110.603,,
103,108,36,108,134,207,36,207,134,-0.0512217,2.01846,-0.600868,0.00649264,2.06968,-0.0258868,-85,-85,-85,-85,-85,0,48,16,48,-63,-38,16,-38,-63,-0.000347692,0.0150626,-0.0109052,-0.000218391,-0.00854214,-0.00124212,-85,5630,-9900,34,-1368,165,129,110.603,,
103,108,36,108,135,207,36,207,135,-0.0512217,2.02098,-0.602162,0.00649264,2.06822,-0.0258868,-31,-31,-31,-31,-31,0,48,16,48,-62,-38,16,-38,-62,-0.000128741,0.0151816,-0.0116651,-0.000159909,-0.0089561,-0.00122282,-31,5675,-10589,25,-1434,163,129,110.036,,
101,107,36,107,135,207,36,207,135,-0.0512217,2.02232,-0.603493,0.00649264,2.06633,-0.0263894,-34,-34,-34,-34,-34,0,47,16,47,-62,-38,16,-38,-62,-0.000139329,0.0143188,-0.0102521,-0.000197548,-0.00820471,-0.00114743,-34,5352,-9307,31,-1314,153,131,109.17,,
101,108,36,108,136,208,36,208,136,-0.0512217,2.02483,-0.605304,0.00649264,2.06507,-0.0263894,-90,-90,-90,-90,-90,0,48,16,48,-61,-37,16,-37,-61,-0.000367313,0.0147484,-0.0111216,-0.000181522,-0.00874286,-0.00125676,-90,5513,-10096,29,-1400,167,131,108.789,,
98,107,36,107,137,208,36,208,137,-0.0512217,2.02825,-0.606597,0.00649264,2.06466,-0.0263894,-27,-27,-27,-27,-27,0,47,16,47,-60,-37,16,-37,-60,-0.000113812,0.0138354,-0.0103251,-0.000165016,-0.00831312,-0.00115107,-27,5171,-9373,26,-1331,153,129,107.35,,
98,107,37,107,137,208,37,208,137,-0.0512217,2.02932,-0.607817,0.00649264,2.06424,-0.0263894,-73,-73,-73,-73,-73,0,47,17,47,-60,-37,17,-37,-60,-0.000300937,0.0136569,-0.00946842,-0.000222196,-0.00783234,-0.00115482,-73,5105,-8595,35,-1254,154,129,107.81,,
98,107,37,107,137,208,37,208,137,-0.0512217,2.03175,-0.608852,0.00649264,2.0634,-0.0263894,-74,-74,-74,-74,-74,0,47,17,47,-60,-37,17,-37,-60,-0.000301667,0.0136745,-0.00944992,-0.000223087,-0.0078685,-0.0011559,-74,5111,-8578,35,-1260,154,129,107.81,,
98,107,36,107,137,208,36,208,137,-0.0512217,2.03264,-0.610441,0.00649264,2.06298,-0.0263894,-28,-28,-28,-28,-28,0,47,16,47,-60,-37,16,-37,-60,-0.000115506,0.0138819,-0.010293,-0.000164393,-0.00839164,-0.00115276,-28,5189,-9344,26,-1344,153,129,107.35,,
96,107,35,107,138,209,35,209,138,-0.0512217,2.03722,-0.611919,0.00649264,2.06235,-0.0263894,-50,-50,-50,-50,-50,0,47,15,47,-59,-36,15,-36,-59,-0.000205614,0.0136879,-0.010625,-0.000135309,-0.00868112,-0.00118562,-50,5116,-9645,21,-1390,158,129,105.669,,
94,107,34,107,137,210,34,210,137,-0.0512217,2.03803,-0.613028,0.00649264,2.06089,-0.0263894,-139,-139,-139,-139,-139,0,47,14,47,-60,-35,14,-35,-60,-0.000569276,0.0133241,-0.00986006,-0.00018164,-0.00831245,-0.00122379,-139,4980,-8951,29,-1331,163,130,105.148,,
96,107,33,107,137,209,33,209,137,-0.0512217,2.0383,-0.614359,0.00649264,2.05942,-0.0266408,-28,-28,-28,-28,-28,0,47,13,47,-60,-36,13,-36,-60,-0.000114647,0.0141711,-0.0118416,-6.36477e-05,-0.00953038,-0.00121781,-28,5297,-10750,10,-1526,162,129,105.437,,
94,106,35,106,138,209,35,209,138,-0.0512217,2.04036,-0.6158,0.00649264,2.05837,-0.0266408,-29,-29,-29,-29,-29,0,46,15,46,-59,-36,15,-36,-59,-0.000121168,0.0128832,-0.00941119,-0.000157008,-0.00800657,-0.00110087,-29,4815,-8543,25,-1282,146,129,104.785,,
92,106,35,106,138,210,35,210,138,-0.0512217,2.04216,-0.617353,0.00649264,2.05607,-0.0266408,-112,-112,-112,-112,-112,0,46,15,46,-59,-35,15,-35,-59,-0.000459116,0.0123856,-0.00843953,-0.000210162,-0.00743926,-0.00112043,-112,4629,-7661,33,-1191,149,128,104.106,,
92,106,35,106,138,210,35,210,138,-0.0512217,2.04404,-0.618313,0.00649264,2.05523,-0.0266408,-113,-113,-113,-113,-113,0,46,15,46,-59,-35,15,-35,-59,-0.000460387,0.0123999,-0.00842687,-0.000210694,-0.00746618,-0.00112188,-113,4635,-7650,33,-1196,149,130,104.106,,
92,106,36,106,139,210,36,210,139,-0.0512217,2.04512,-0.619348,0.00649264,2.05439,-0.0268921,-110,-110,-110,-110,-110,0,46,16,46,-58,-35,16,-35,-58,-0.000448445,0.0122938,-0.00822756,-0.000218379,-0.00731569,-0.00111168,-110,4595,-7469,34,-1172,148,129,103.99,,
92,106,35,106,139,210,35,210,139,-0.0512217,2.04638,-0.620383,0.00649264,2.05418,-0.0268921,-80,-80,-80,-80,-80,0,46,15,46,-58,-35,15,-35,-58,-0.000326527,0.0125114,-0.00894228,-0.000172296,-0.00782516,-0.0011219,-80,4676,-8118,27,-1253,149,129,103.542,,
90,105,35,105,140,210,35,210,140,-0.0512217,2.04862,-0.621751,0.00649264,2.05314,-0.0271434,-26,-26,-26,-26,-26,0,45,15,45,-57,-35,15,-35,-57,-0.000108099,0.0118003,-0.00835274,-0.000158692,-0.00743402,-0.00103686,-26,4411,-7582,25,-1190,138,129,102.098,,
90,105,35,105,140,210,35,210,140,-0.0512217,2.04988,-0.623081,0.00649264,2.0523,-0.0273948,-26,-26,-26,-26,-26,0,45,15,45,-57,-35,15,-35,-57,-0.000108989,0.0118139,-0.00834495,-0.00015804,-0.00745542,-0.00103753,-26,4416,-7575,25,-1194,138,128,102.098,,
87,105,35,105,139,211,35,211,139,-0.0512217,2.05203,-0.62419,0.00649264,2.05104,-0.0273948,-133,-133,-133,-133,-133,0,45,15,45,-58,-34,15,-34,-58,-0.000542243,0.0111501,-0.00694608,-0.000236735,-0.00655637,-0.00103996,-133,4168,-6305,37,-1050,138,129,101.985,,
87,105,35,105,139,211,35,211,139,-0.0512217,2.0532,-0.624966,0.00649264,2.04978,-0.0276461,-133,-133,-133,-133,-133,0,45,15,45,-58,-34,15,-34,-58,-0.000543538,0.0111598,-0.00693888,-0.000236195,-0.00657323,-0.00104096,-133,4171,-6299,37,-1053,138,128,101.985,,
87,106,34,106,139,212,34,212,139,-0.0512217,2.05437,-0.625853,0.00649264,2.04916,-0.0278974,-183,-183,-183,-183,-183,0,46,14,46,-58,-33,14,-33,-58,-0.000747615,0.0116237,-0.00773598,-0.000216025,-0.00720885,-0.00113489,-183,4345,-7022,34,-1154,151,130,101.794,,
87,106,34,106,139,212,34,212,139,-0.0512217,2.05634,-0.626519,0.00649264,2.04874,-0.0278974,-184,-184,-184,-184,-184,0,46,14,46,-58,-33,14,-33,-58,-0.00074957,0.0116358,-0.00772399,-0.000217764,-0.00723299,-0.00113745,-184,4349,-7012,34,-1158,151,130,101.794,,
87,105,35,105,140,211,35,211,140,-0.0512217,2.05724,-0.627886,0.00649264,2.04727,-0.0278974,-103,-103,-103,-103,-103,0,45,15,45,-57,-34,15,-34,-57,-0.000421544,0.0112956,-0.0074144,-0.000201118,-0.00696903,-0.00104861,-103,4222,-6731,32,-1116,139,128,101.42,,
87,105,35,105,141,211,35,211,141,-0.0512217,2.05876,-0.628884,0.00649264,2.04622,-0.0278974,-73,-73,-73,-73,-73,0,45,15,45,-56,-34,15,-34,-56,-0.000297592,0.0113717,-0.00782879,-0.000169344,-0.00727356,-0.00104986,-73,4250,-7107,27,-1165,140,129,100.861,,
83,104,35,104,141,212,35,212,141,-0.0512217,2.05984,-0.629771,0.00649264,2.04497,-0.0281487,-121,-121,-121,-121,-121,0,44,15,44,-56,-33,15,-33,-56,-0.000496536,0.0102022,-0.00621368,-0.000222213,-0.00608056,-0.000970261,-121,3813,-5640,35,-974,129,128,99.3026,,
81,103,35,103,142,212,35,212,142,-0.0512217,2.06146,-0.630621,0.00649264,2.04413,-0.0284001,-88,-88,-88,-88,-88,0,43,15,43,-55,-33,15,-33,-55,-0.000362211,0.0096456,-0.0058366,-0.000208399,-0.00577611,-0.000907657,-88,3605,-5298,33,-925,121,128,97.857,,
79,103,35,103,143,213,35,213,143,-0.0512217,2.06244,-0.631286,0.00649264,2.04329,-0.0286514,-110,-110,-110,-110,-110,0,43,15,43,-54,-32,15,-32,-54,-0.000448109,0.00926722,-0.00556297,-0.000209963,-0.00555125,-0.000899563,-110,3464,-5050,33,-889,120,131,96.6282,,
79,103,35,103,143,213,35,213,143,-0.0512217,2.06388,-0.631915,0.00649264,2.04183,-0.0289027,-110,-110,-110,-110,-110,0,43,15,43,-54,-32,15,-32,-54,-0.000449298,0.00927522,-0.00555522,-0.000209671,-0.00556699,-0.000900508,-110,3467,-5043,33,-891,120,129,96.6282,,
79,102,34,102,143,212,34,212,143,-0.0512217,2.06505,-0.632728,0.00649264,2.04078,-0.029154,-20,-20,-20,-20,-20,0,42,14,42,-54,-33,14,-33,-54,-8.20237e-05,0.00923207,-0.00591669,-0.000163982,-0.00589495,-0.000864639,-20,3451,-5371,26,-944,115,129,95.9687,,
77,102,35,102,144,213,35,213,144,-0.0512217,2.0663,-0.633578,0.00649264,2.04057,-0.029154,-79,-79,-79,-79,-79,0,42,15,42,-53,-32,15,-32,-53,-0.000324188,0.00875814,-0.00520288,-0.000197405,-0.00528481,-0.000844836,-79,3273,-4723,31,-846,112,128,95.184,,
77,102,35,102,144,213,35,213,144,-0.0512217,2.06747,-0.634428,0.00649264,2.03994,-0.0294054,-79,-79,-79,-79,-79,0,42,15,42,-53,-32,15,-32,-53,-0.000324925,0.00876557,-0.00519756,-0.000197378,-0.00529756,-0.000845543,-79,3276,-4718,31,-848,112,128,95.184,,
