No,Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr
21,292,176,104,176,146,218,104,218,146,0.00259523,1.19141,-0.0353804,0.0402125,2.20121,-0.000251328,29065,29065,29065,29065,29065,0,116,84,116,-51,-27,84,-27,-51,-0.148472,0.311996,-0.315133,-0.00973289,0.0824922,-0.0345018,-36471,116628,-286088,1559,13215,4606,128,228.34
22,284,174,110,174,153,218,110,218,153,0.00259523,1.21717,-0.0801389,0.0402125,2.20142,-0.000251328,-15775,-15775,-15775,-15775,-15775,0,114,90,114,-44,-27,90,-27,-44,-0.0642218,0.240787,-0.276665,-0.00381597,0.0770661,-0.0169864,-15775,90009,-251165,611,12346,2267,129,231.702
23,280,173,116,173,160,218,116,218,160,0.00259523,1.24931,-0.121756,0.0402125,2.20142,-0.00100531,-14012,-14012,-14012,-14012,-14012,0,113,96,113,-37,-27,96,-27,-37,-0.0570425,0.229516,-0.252384,-0.00379656,0.0663522,-0.0164902,-14012,85796,-229122,608,10629,2201,130,236.671
24,280,173,116,173,160,218,116,218,160,0.00245864,1.28423,-0.15964,0.0402125,2.20163,-0.00201062,-14423,-14423,-14423,-14423,-14423,0,113,96,113,-37,-27,96,-27,-37,-0.0587164,0.231808,-0.246867,-0.00435662,0.0586098,-0.0187311,-14423,86652,-224114,697,9389,2500,130,236.671
25,280,173,120,173,164,218,120,218,164,0.0016391,1.31546,-0.193791,0.0402125,2.20163,-0.00301594,-13834,-13834,-13834,-13834,-13834,0,113,100,113,-33,-27,100,-27,-33,-0.0563172,0.232149,-0.239655,-0.00474625,0.0518135,-0.0199776,-13834,86780,-217566,760,8300,2667,129,241.008
26,275,172,124,172,169,218,124,218,169,-0.0079223,1.34068,-0.226168,0.0402125,2.20163,-0.00427258,-12996,-12996,-12996,-12996,-12996,0,112,104,112,-28,-27,104,-27,-28,-0.0529061,0.221916,-0.222299,-0.00537305,0.0449231,-0.0209887,-12996,82955,-201810,860,7196,2802,131,244.495
27,271,171,126,171,171,218,126,218,171,-0.0121566,1.37497,-0.257362,0.0402125,2.20163,-0.00703718,-3162,-3162,-3162,-3162,-3162,0,111,106,111,-26,-27,106,-27,-26,-0.0128734,0.181653,-0.234018,-0.00109583,0.054161,-0.010565,-3162,67904,-212449,175,8676,1410,129,245.935
28,271,171,126,171,171,218,126,218,171,-0.0166641,1.4045,-0.286597,0.0402125,2.20163,-0.00980179,-3455,-3455,-3455,-3455,-3455,0,111,106,111,-26,-27,106,-27,-26,-0.0140675,0.184027,-0.230847,-0.00153174,0.0486641,-0.0121748,-3455,68791,-209570,245,7796,1625,129,245.935
29,271,170,127,170,173,217,127,217,173,-0.0172105,1.42362,-0.317792,0.0402125,2.20163,-0.0110584,-12967,-12967,-12967,-12967,-12967,0,110,107,110,-24,-28,107,-28,-24,-0.0527885,0.219362,-0.199752,-0.00683474,0.025495,-0.025632,-12967,82000,-181340,1094,4084,3421,130,246.355
30,263,169,127,169,175,218,127,218,175,-0.0199423,1.45495,-0.347471,0.0402125,2.20163,-0.0133204,-12523,-12523,-12523,-12523,-12523,0,109,107,109,-22,-27,107,-27,-22,-0.050983,0.204813,-0.178404,-0.00708059,0.0176015,-0.0255054,-12523,76561,-161960,1134,2819,3405,128,245.053
31,259,168,130,168,179,218,130,218,179,-0.0311428,1.47703,-0.374341,0.0402125,2.20163,-0.015331,-12105,-12105,-12105,-12105,-12105,0,108,110,108,-18,-27,110,-27,-18,-0.0492785,0.197784,-0.167804,-0.00775887,0.0135142,-0.0268219,-12105,73934,-152337,1243,2165,3580,129,247.81
32,259,168,130,168,179,218,130,218,179,-0.0398847,1.50683,-0.397662,0.0402125,2.20163,-0.0196036,-12812,-12812,-12812,-12812,-12812,0,108,110,108,-18,-27,110,-27,-18,-0.0521558,0.201639,-0.165221,-0.00918332,0.00716731,-0.0306005,-12812,75375,-149993,1471,1148,4085,130,247.81
33,255,166,131,166,180,217,131,217,180,-0.0450751,1.53223,-0.419543,0.040003,2.20163,-0.0223682,-5590,-5590,-5590,-5590,-5590,0,106,111,106,-17,-28,111,-28,-17,-0.0227563,0.169972,-0.180579,-0.00411672,0.0187248,-0.0199703,-5590,63537,-163935,659,2999,2666,130,247.572
