No,Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr
21,259,147,59,147,109,197,59,197,109,-0.000409774,1.316,-0.018194,0.041888,2.3053,0.000502656,-24480,-24480,-24480,-24480,-24480,0,87,39,87,-88,-48,39,-48,-88,-0.0996549,0.279365,-0.507069,-0.0070132,0.125312,-0.0213665,-24480,104430,-460333,1123,20075,2852,132,179.034
22,251,147,65,147,114,199,65,199,114,-0.000819548,1.35065,-0.0669072,0.041888,2.3053,0.000502656,8124,8124,8124,8124,8124,0,87,45,87,-83,-46,45,-46,-83,0.0330752,0.196253,-0.199914,0.00222337,0.0280367,0.00498236,8124,73362,-181487,-356,4491,-665,127,179.817
23,251,147,65,147,114,199,65,199,114,-0.000819548,1.38503,-0.116249,0.041888,2.3053,0.000502656,8361,8361,8361,8361,8361,0,87,45,87,-83,-46,45,-46,-83,0.0340397,0.196449,-0.193322,0.0024578,0.0212176,0.00581631,8361,73435,-175503,-393,3399,-776,129,179.817
24,247,147,71,147,122,200,71,200,122,-0.000956139,1.41231,-0.163853,0.041888,2.30551,0.000502656,-4801,-4801,-4801,-4801,-4801,0,87,51,87,-75,-45,51,-45,-75,-0.0195456,0.213355,-0.251843,-0.00288109,0.0357607,-0.00811207,-4801,79755,-228630,461,5729,1082,130,180.599
25,247,148,76,148,128,201,76,201,128,-0.000956139,1.44157,-0.207244,0.0416786,2.30551,0.000502656,-18229,-18229,-18229,-18229,-18229,0,88,56,88,-69,-44,56,-44,-69,-0.0742103,0.243943,-0.266682,-0.0103058,0.0308179,-0.0258592,-18229,91189,-242102,1651,4937,3452,131,183.109
26,243,148,82,148,136,202,82,202,136,-0.000956139,1.46823,-0.247863,0.0416786,2.30551,0.000502656,-28609,-28609,-28609,-28609,-28609,0,88,62,88,-61,-43,62,-43,-61,-0.116465,0.264622,-0.221535,-0.0172408,0.00850235,-0.0412383,-28609,98919,-201116,2762,1362,5505,128,185.577
27,243,148,82,148,136,202,82,202,136,-0.000956139,1.49947,-0.283419,0.0416786,2.30551,0.000502656,-29512,-29512,-29512,-29512,-29512,0,88,62,88,-61,-43,62,-43,-61,-0.120143,0.269584,-0.217995,-0.019222,0.000148302,-0.0462984,-29512,100774,-197902,3079,23,6181,128,185.577
28,239,150,86,150,140,205,86,205,140,-0.00669297,1.53681,-0.315426,0.0416786,2.30551,0.000502656,-19285,-19285,-19285,-19285,-19285,0,90,66,90,-57,-40,66,-40,-57,-0.0785079,0.239459,-0.196312,-0.015322,-0.00419953,-0.0355874,-19285,89512,-178218,2454,-672,4751,128,188.989
29,232,149,89,149,144,206,89,206,144,-0.0296403,1.57074,-0.34407,0.0416786,2.30551,0.000502656,-7935,-7935,-7935,-7935,-7935,0,89,69,89,-53,-39,69,-39,-53,-0.0323061,0.197715,-0.181914,-0.00984539,-0.00110714,-0.0225184,-7935,73908,-165147,1577,-177,3006,129,189.673
30,220,141,84,141,143,201,84,201,143,-0.035104,1.59892,-0.369757,0.0414691,2.30551,0.000251328,-12289,-12289,-12289,-12289,-12289,0,81,64,81,-54,-44,64,-44,-54,-0.0500308,0.189047,-0.137171,-0.0133084,-0.0149481,-0.0277735,-12289,70668,-124527,2132,-2394,3707,128,179.438
