No,Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr
1,337,147,175,147,204,179,175,179,204,0,0.523599,0.610865,0,1.8326,0,600,600,600,600,600,0,87,155,87,7,-66,155,-66,7,0.00244545,0.214357,-0.656655,0.000596361,0.330385,-0.00107005,600,80129,-596132,-95,52929,142,127,309.797
2,337,147,175,147,204,179,175,179,204,0,0.523599,0.610865,0,1.83218,0,600,600,600,600,600,0,87,155,87,7,-66,155,-66,7,0.00244505,0.214365,-0.656647,0.000596897,0.330369,-0.0010703,600,80132,-596124,-95,52926,142,126,309.797
3,342,147,175,147,204,178,175,178,204,0,0.523599,0.610533,0,1.83469,0,95,95,95,95,95,0,87,155,87,7,-67,155,-67,7,0.000390275,0.264948,-0.644792,0.000292782,0.332606,-0.000817582,95,99041,-585363,-46,53285,109,127,310.226
4,342,147,175,147,204,178,175,178,204,0,0.545769,0.606615,0,1.87197,0.00125664,100,100,100,100,100,0,87,155,87,7,-67,155,-67,7,0.000409733,0.268913,-0.647054,0.000241172,0.330902,-0.000817396,100,100523,-587416,-38,53012,109,128,310.226
5,342,148,165,148,195,179,165,179,195,0,0.568389,0.595601,0,1.9147,0.00125664,-508,-508,-508,-508,-508,0,88,145,88,-2,-66,145,-66,-2,-0.00206994,0.310486,-0.584992,-3.93E-05,0.30046,-0.000951896,-508,116063,-531074,6,48135,127,128,295.43
6,342,148,165,148,195,179,165,179,195,0,0.602049,0.581149,0,1.95344,0.00125664,-515,-515,-515,-515,-515,0,88,145,88,-2,-66,145,-66,-2,-0.00209982,0.310503,-0.575484,-9.83E-05,0.290935,-0.00100149,-515,116070,-522442,15,46609,133,128,295.43
7,342,150,150,150,180,181,150,181,180,0,0.645403,0.563889,0,1.99177,0.00125664,-984,-984,-984,-984,-984,0,90,130,90,-17,-64,130,-64,-17,-0.00400771,0.31564,-0.557769,-0.000286942,0.272865,-0.00151111,-984,117990,-506360,45,43714,201,128,274.556
8,332,151,135,151,166,184,135,184,166,0,0.685077,0.542157,0,2.03177,0.00125664,1545,1545,1545,1545,1545,0,91,115,91,-31,-61,115,-61,-31,0.0062922,0.250355,-0.577663,0.0002343,0.271978,-0.00185899,1545,93585,-524420,-37,43572,248,127,254.244
9,332,153,120,153,153,186,120,186,153,0,0.7252,0.517246,0,2.06528,0.00125664,-10105,-10105,-10105,-10105,-10105,0,93,100,93,-44,-59,100,-59,-44,-0.0411371,0.337272,-0.34795,-0.0021337,0.159264,-0.00319597,-10105,120000,-315879,341,25514,426,128,237.057
10,332,153,120,153,153,186,120,186,153,0,0.757065,0.487788,0,2.10026,0.00125664,-10328,-10328,-10328,-10328,-10328,0,93,100,93,-44,-59,100,-59,-44,-0.0420446,0.334016,-0.331704,-0.00248162,0.146274,-0.0042538,-10328,120000,-301131,397,23433,567,127,237.057
11,323,154,107,154,141,189,107,189,141,-0.000136591,0.796379,0.455855,0,2.12016,0.00125664,-6501,-6501,-6501,-6501,-6501,0,94,87,94,-56,-56,87,-56,-56,-0.026466,0.267705,-0.386745,-0.00152616,0.167709,-0.00372219,-6501,100071,-351099,244,26867,496,128,223.13
12,328,156,99,156,133,190,99,190,133,-0.000409774,0.838028,0.419856,-0.00020944,2.14194,0.00125664,-27360,-27360,-27360,-27360,-27360,0,96,79,96,-64,-55,79,-55,-64,-0.111382,0.340551,-0.35835,-0.0051507,0.142279,-0.0122601,-27360,120000,-325321,825,22793,1636,129,217.488
13,323,157,94,157,129,192,94,192,129,-0.000409774,0.876176,0.379976,-0.00020944,2.16121,0.00125664,-31416,-31416,-31416,-31416,-31416,0,97,74,97,-68,-53,74,-53,-68,-0.127892,0.324186,-0.381419,-0.00584536,0.148596,-0.0151011,-31416,120000,-346264,936,23805,2016,131,213.279
14,319,158,91,158,127,194,91,194,127,-0.000546365,0.918722,0.336326,-0.00020944,2.16896,0.00125664,32427,32427,32427,32427,32427,0,98,71,98,-70,-51,71,-51,-70,-0.134784,0.30695,-0.385634,-0.00642438,0.146095,-0.0176586,-33109,114742,-350090,1029,23405,2357,127,210.791
15,314,158,90,158,127,195,90,195,127,-0.00601002,0.960999,0.289905,0.00083776,2.1744,0.00125664,-32290,-32290,-32290,-32290,-32290,0,98,70,98,-70,-50,70,-50,-70,-0.131448,0.287548,-0.359278,-0.00709586,0.131042,-0.0192205,-32290,107489,-326163,1136,20993,2566,128,209.304
16,314,158,90,158,127,195,90,195,127,-0.0270451,0.999237,0.240452,0.00879648,2.17922,0.00125664,31894,31894,31894,31894,31894,0,98,70,98,-70,-50,70,-50,-70,-0.136952,0.284006,-0.344397,-0.00964064,0.119832,-0.0249194,-33642,106165,-312654,1544,19197,3326,128,209.304
17,310,156,93,156,130,194,93,194,130,-0.0420701,1.03568,0.193291,0.0136136,2.1832,0.00125664,-13279,-13279,-13279,-13279,-13279,0,96,73,96,-67,-51,73,-51,-67,-0.0540604,0.225453,-0.297954,-0.00576685,0.10311,-0.0154858,-13279,84277,-270492,923,16518,2067,131,210.024
18,310,156,96,156,134,194,96,194,134,-0.0566854,1.07113,0.147793,0.0148702,2.18592,0.00100531,-27972,-27972,-27972,-27972,-27972,0,96,76,96,-63,-51,76,-51,-63,-0.113873,0.263162,-0.244251,-0.0147154,0.0706421,-0.0295699,-27972,98373,-221739,2357,11317,3947,128,211.969
19,305,152,98,152,136,191,98,191,136,-0.0673395,1.10201,0.106583,0.0148702,2.18802,0.00100531,-10827,-10827,-10827,-10827,-10827,0,92,78,92,-61,-54,78,-54,-61,-0.0440775,0.21001,-0.244291,-0.00804934,0.0759803,-0.0183289,-10827,78504,-221775,1289,12172,2446,128,211.502
20,301,149,101,149,140,189,101,189,140,-0.0885112,1.1398,0.0695121,0.0148702,2.18927,0.000251328,-9056,-9056,-9056,-9056,-9056,0,89,81,89,-57,-56,81,-56,-57,-0.0368667,0.198557,-0.214014,-0.00989751,0.0614205,-0.0200062,-9056,74223,-194288,1585,9839,2670,127,212.24
21,301,149,101,149,140,189,101,189,140,-0.0923357,1.16404,0.0352872,0.0148702,2.19053,-0.000753984,-9337,-9337,-9337,-9337,-9337,0,89,81,89,-57,-56,81,-56,-57,-0.0380116,0.198729,-0.209733,-0.0103449,0.0569672,-0.0214721,-9337,74287,-190402,1657,9126,2866,127,212.24
22,301,145,100,145,141,185,100,185,141,-0.0968432,1.18863,0.00520172,0.0148702,2.19116,-0.00226195,-14546,-14546,-14546,-14546,-14546,0,85,80,85,-56,-60,80,-60,-56,-0.0592179,0.236227,-0.0495571,-0.0259448,-0.0215819,-0.0295514,-14546,88304,-44989,4156,-3457,3945,129,209.728
23,292,144,103,144,144,186,103,186,144,-0.101351,1.22014,-0.02189,0.0148702,2.19199,-0.0062832,-6286,-6286,-6286,-6286,-6286,0,84,83,84,-53,-59,83,-59,-53,-0.0255926,0.177882,-0.16967,-0.0102971,0.0392804,-0.0192797,-6286,66494,-154031,1649,6292,2573,128,211.069
24,292,142,104,142,147,184,104,184,147,-0.109546,1.24338,-0.0460988,0.0148702,2.1922,-0.00980179,-8031,-8031,-8031,-8031,-8031,0,82,84,82,-50,-61,84,-61,-50,-0.0326936,0.205369,-0.0194287,-0.0255894,-0.030487,-0.0248444,-8031,76769,-17637,4099,-4884,3316,130,211.088
25,292,142,104,142,147,184,104,184,147,-0.111732,1.27525,-0.0677943,0.0148702,2.19262,-0.0118124,-8271,-8271,-8271,-8271,-8271,0,82,84,82,-50,-61,84,-61,-50,-0.0336719,0.205003,-0.0122103,-0.0265049,-0.0373644,-0.0261106,-8271,76632,-11084,4246,-5985,3485,127,211.088
26,288,140,104,140,147,183,104,183,147,-0.115829,1.29769,-0.0861634,0.0146608,2.19262,-0.0155823,-4854,-4854,-4854,-4854,-4854,0,80,84,80,-50,-62,84,-62,-50,-0.0197629,0.179509,-0.0715093,-0.018417,-0.00864914,-0.0212159,-4854,67102,-64918,2950,-1385,2832,127,210.133
27,284,139,103,139,147,183,103,183,147,-0.117742,1.32291,-0.101761,0.0144514,2.19262,-0.0178443,-4164,-4164,-4164,-4164,-4164,0,79,83,79,-50,-62,83,-62,-50,-0.0169551,0.169642,-0.0645565,-0.0177582,-0.0109031,-0.0201451,-4164,63414,-58606,2844,-1746,2689,130,208.175
28,275,138,101,138,146,184,101,184,146,-0.119791,1.35029,-0.112996,0.0142419,2.19262,-0.0226195,-3865,-3865,-3865,-3865,-3865,0,78,81,78,-51,-61,81,-61,-51,-0.0157346,0.147056,-0.117046,-0.0108973,0.0133039,-0.0180205,-3865,54971,-106258,1745,2131,2405,128,204.68
29,267,137,99,137,146,185,99,185,146,-0.121156,1.36645,-0.121645,0.0136136,2.19262,-0.0253841,-3630,-3630,-3630,-3630,-3630,0,77,79,77,-51,-60,79,-60,-51,-0.0147775,0.134572,-0.105409,-0.010334,0.0110321,-0.016888,-3630,50304,-95693,1655,1767,2254,128,200.953
30,267,137,96,137,144,185,96,185,144,-0.122932,1.38853,-0.13325,0.0129853,2.19262,-0.0273948,-3908,-3908,-3908,-3908,-3908,0,77,76,77,-53,-60,76,-60,-53,-0.015909,0.137711,-0.0574242,-0.015016,-0.00930077,-0.0179529,-3908,51478,-52131,2405,-1490,2396,129,197.977
31,267,137,96,137,144,185,96,185,144,-0.124571,1.40468,-0.147073,0.0117286,2.19262,-0.031416,-3998,-3998,-3998,-3998,-3998,0,77,76,77,-53,-60,76,-60,-53,-0.0162773,0.138157,-0.0556058,-0.0153265,-0.011593,-0.0184334,-3998,51644,-50480,2455,-1857,2460,127,197.977
32,263,136,94,136,143,185,94,185,143,-0.125254,1.42075,-0.156794,0.0111003,2.19241,-0.0319187,-3363,-3363,-3363,-3363,-3363,0,76,74,76,-54,-60,74,-60,-54,-0.0136914,0.130465,-0.0549509,-0.0141829,-0.0107749,-0.0171745,-3363,48769,-49886,2272,-1726,2292,127,195.182
33,263,136,94,136,144,185,94,185,144,-0.127303,1.44472,-0.164334,0.010472,2.19241,-0.0334266,-3325,-3325,-3325,-3325,-3325,0,76,74,76,-53,-60,74,-60,-53,-0.0135372,0.131051,-0.00863062,-0.0185564,-0.029246,-0.0176352,-3325,48988,-7835,2972,-4685,2354,129,194.908
34,251,134,90,134,142,186,90,186,142,-0.129215,1.45432,-0.171097,0.0083776,2.19179,-0.0366939,-2657,-2657,-2657,-2657,-2657,0,74,70,74,-55,-59,70,-59,-55,-0.0108174,0.112115,-0.05369,-0.0120281,-0.00779487,-0.0151249,-2657,41910,-48741,1926,-1248,2019,128,188.783
