[        137         164         198         208     0.86816           0]
[        150         147         215         208     0.97168           0]
[        151         136         223         205     0.94775           0]
[        147         125         222         200     0.97607           0]
[        138         116         217         192     0.93018           0]
[        132         114         214         194     0.94434           0]
[        130         115         214         196     0.96143           0]
[        127         111         212         195     0.95605           0]
[        124         109         209         192      0.9585           0]
[        125         109         206         189     0.96875           0]
[        126         109         207         187     0.96826           0]
[        128         107         207         185     0.97412           0]
[        129         105         210         185     0.97852           0]
[        130         103         212         184     0.98242           0]
[        131         102         214         183       0.979           0]
[        131         101         215         183       0.979           0]
[        130         100         213         182     0.97705           0]
[        130         100         212         182     0.97363           0]
[        131         101         216         182     0.96826           0]
[        132         100         218         182     0.95703           0]
[        131         100         218         183     0.96533           0]
[        133         100         219         180      0.9585           0]
[        132          98         214         178     0.94141           0]
[        132          98         214         176     0.90771           0]
[        130          95         214         175     0.93457           0]
[        130          95         213         175     0.94092           0]
[        131          98         213         178     0.92285           0]
[        129          98         212         176     0.93311           0]
[        129         100         213         178     0.95557           0]
[        131         101         216         180     0.96094           0]
[        132         100         217         180      0.9541           0]
[        131          99         218         179     0.94336           0]
[        133         100         220         179     0.95508           0]
[        132         100         220         180     0.95752           0]
[        133         100         219         180     0.95264           0]
[        132         102         218         183     0.96143           0]
[        131         103         219         185     0.96875           0]
[        131         104         218         185     0.97021           0]
[        133         104         218         185     0.97412           0]
[        131         103         217         184     0.96924           0]
[        132         103         217         183     0.96973           0]
[        133         103         216         183     0.96924           0]
[        132         101         216         182     0.96973           0]
[        131         102         216         180     0.96045           0]
[        133         102         214         180     0.95947           0]
[        132         102         215         181     0.96387           0]
[        132         103         214         181     0.96924           0]
[        132         102         216         180     0.96045           0]
[        133         101         217         179     0.95361           0]
[        133          99         217         175     0.92236           0]
[        131          94         215         172     0.93945           0]
[        129          92         212         170     0.96631           0]
[        127          92         211         169      0.9585           0]
[        125          92         208         168     0.93945           0]
[        123          91         209         168      0.9458           0]
[        123          90         209         166     0.94287           0]
[        124          89         211         166      0.9624           0]
[        126          89         213         167     0.96484           0]
[        128          90         213         169     0.96484           0]
[        130          92         214         171     0.96094           0]
[        129          93         214         172      0.9541           0]
[        129          94         216         174     0.93164           0]
[        129          95         215         175      0.9082           0]
[        128          95         215         174     0.92822           0]
[        128          95         215         174     0.92871           0]
[        131          97         216         177     0.89795           0]
[        130          98         214         176     0.93115           0]
[        130          99         214         176     0.93896           0]
[        129          97         213         174     0.94482           0]
[        128          96         213         175     0.93652           0]
[        128          97         213         174     0.93213           0]
[        127          96         213         174     0.92676           0]
[        128          97         213         173     0.94238           0]
[        129          97         213         174     0.94238           0]
[        131          99         213         174     0.93848           0]
[        130         100         213         175     0.93848           0]
[        130          99         212         174     0.94385           0]
[        129          98         212         173     0.93701           0]
[        128          99         213         175     0.92676           0]
[        129         100         213         175      0.9165           0]
[        127          99         214         175      0.9082           0]
[        128         100         214         175      0.9375           0]
[        131         100         213         174      0.9375           0]
[        130         101         213         173     0.93506           0]
[        130          97         213         173     0.94531           0]
[        129          97         213         173     0.94531           0]
[        129          97         213         174     0.94141           0]
[        129          98         214         174     0.92969           0]
[        128          98         214         174     0.91602           0]
[        129         101         213         175     0.94141           0]
[        131         101         213         174     0.93262           0]
[        132         101         213         175     0.93896           0]
[        133         101         215         174     0.92188           0]
[        132         101         216         175     0.91699           0]
[        132         101         214         175     0.92773           0]
[        132         101         214         175      0.9248           0]
[        132         101         216         174     0.90479           0]
[        131         102         216         175     0.93311           0]
[        130         103         216         178     0.95654           0]
[        133         104         215         178      0.9585           0]
[        133         102         217         176     0.95557           0]
[        133         102         217         174     0.93359           0]
[        134         102         217         174      0.9458           0]
[        132         103         218         178     0.95752           0]
[        133         103         216         179     0.95361           0]
[        131         103         216         178     0.94678           0]
[        130         103         213         177     0.94531           0]
[        130         102         212         176     0.94678           0]
[        132         102         213         176      0.9458           0]
[        131         103         214         175     0.94971           0]
[        131         103         214         176     0.94922           0]
[        131         103         215         178     0.95752           0]
[        130         103         214         179     0.96289           0]
[        131         105         212         179     0.96143           0]
[        130         107         212         180     0.95947           0]
[        131         106         211         179     0.95752           0]
[        130         106         211         178     0.96338           0]
[        132         106         213         177     0.96777           0]
[        132         106         213         178     0.96436           0]
[        133         106         212         180     0.96924           0]
[        131         106         212         179     0.96826           0]
[        131         106         212         179     0.96094           0]
[        132         106         212         179     0.95996           0]
[        131         106         213         179      0.9585           0]
[        132         105         213         179     0.96094           0]
[        131         105         213         179     0.96777           0]
[        133         106         214         180     0.96826           0]
[        133         105         216         182     0.96289           0]
[        132         105         216         183     0.96631           0]
[        132         105         216         183      0.9624           0]
[        132         105         217         183     0.95508           0]
[        131         105         217         182      0.9458           0]
[        130         106         218         182     0.94336           0]
[        132         106         216         183     0.96191           0]
[        132         106         217         182     0.95947           0]
[        133         106         217         182     0.96289           0]
[        132         105         214         182     0.96826           0]
[        131         103         217         181     0.96289           0]
[        131         103         217         180     0.95459           0]
[        130         104         214         182     0.96484           0]
[        131         123         212         198     0.94629           0]
