20.5,150.0
24.5,148.0
27.5,147.5
28.5,146.5
28.5,138.5
28.0,132.0
28.5,131.5
33.5,125.5
43.5,119.0
47.0,117.0
49.0,113.0
55.0,105.5
64.5,102.0
70.0,102.0
73.5,101.0
80.0,101.0
91.5,99.0
99.5,98.5
103.0,99.0
111.0,97.5
123.0,96.5
132.0,96.0
136.0,95.5
142.0,95.0
153.0,94.5
155.0,94.5
155.0,95.0
155.5,95.0
156.0,94.5
155.5,94.5
155.0,94.5
155.0,95.0
155.5,94.5
155.5,95.0
155.0,95.5
155.0,95.5
155.5,96.0
156.0,96.5
156.5,97.0
156.5,97.5
157.0,98.0
156.5,99.0
156.5,98.0
156.5,97.0
156.0,96.5
156.0,96.5
156.0,96.5
155.5,96.5
154.5,97.0
155.0,97.5
155.0,98.5
155.5,99.5
155.5,100.0
155.5,101.5
155.5,101.5
156.0,101.0
156.0,101.5
156.0,101.5
155.5,102.0
156.0,103.0
156.5,103.5
157.0,104.5
157.0,103.0
156.5,103.0
157.0,103.0
158.0,103.0
157.0,104.5
157.0,103.5
157.0,103.5
157.5,104.0
157.5,104.5
158.0,104.5
158.5,105.5
159.0,105.5
159.0,106.5
159.0,106.5
158.5,107.5
158.0,105.5
158.0,106.0
158.0,106.5
158.5,107.0
157.5,106.5
157.5,106.5
158.0,106.5
158.0,106.5
159.0,106.5
161.0,105.5
161.5,106.0
161.5,106.5
161.5,107.0
162.5,107.0
162.0,106.0
161.5,106.5
162.0,106.5
161.0,106.0
161.0,106.5
161.0,106.5
161.5,106.5
161.5,107.0
161.5,106.5
162.0,106.5
162.0,107.0
161.5,106.0
162.5,105.5
161.5,105.5
161.5,106.5
161.5,105.5
162.0,106.5
162.0,106.0
162.0,106.5
161.0,108.0
160.5,108.0
161.0,107.5
161.5,108.5
161.5,107.5
162.5,108.0
163.0,105.5
163.0,105.5
163.5,105.0
163.5,107.5
162.5,107.5
161.0,106.0
161.0,105.5
160.5,105.5
161.5,106.0
161.0,108.0
161.5,107.0
161.5,106.0
161.5,107.5
162.5,107.0
162.5,107.5
162.5,107.5
