61,65,
63,65,
66,67,
69,68,
70,70,
71,71,
69,69,
71,67,
75,68,
69,68,
72,72,
72,72,
71,70,
73,72,
74,72,
73,74,
80,73,
78,76,
77,77,
79,79,
77,78,
81,79,
81,78,
79,77,
78,77,
79,75,
79,76,
79,77,
78,77,
78,75,
77,75,
77,73,
78,75,
71,74,
78,75,
78,77,
80,79,
80,79,
79,78,
76,78,
80,76,
80,75,
80,77,
82,78,
81,80,
81,82,
76,82,
86,79,
82,78,
76,77,
81,80,
83,84,
85,82,
86,83,
84,84,
83,85,
87,82,
88,85,
85,87,
89,87,
89,88,
91,90,
92,89,
91,91,
91,90,
92,91,
87,87,
91,87,
91,90,
91,89,
91,88,
91,90,
92,90,
92,90,
91,92,
91,91,
88,92,
91,92,
90,91,
91,90,
92,90,
90,90,
89,90,
95,90,
96,89,
94,89,
95,89,
97,90,
93,90,
93,91,
93,89,
99,92,
99,93,
100,93,
96,91,
93,93,
99,95,
99,97,
99,96,
98,96,
99,95,
101,95,
102,97,
104,95,
102,100,
103,100,
100,96,
80,79,
width,length,depth
84.8611111111111,82.9444444444444,130
