[        138          86         196         141     0.89502           0]
[        134          87         195         143      0.9248           0]
[        129          84         194         143     0.90234           0]
[        123          86         190         143     0.87305           0]
[        126          84         190         141     0.89941           0]
[        124          82         190         142     0.90234           0]
[        124          82         190         142     0.85059           0]
[        121          78         190         139     0.85059           0]
[        126          80         189         137     0.86768           0]
[        124          79         189         137     0.85693           0]
[        129          83         188         137       0.896           0]
[        127          83         186         136     0.88428           0]
[        120          87         177         137     0.90332           0]
[        117          88         176         139      0.8667           0]
[        123          90         180         142     0.86035           0]
[        128          88         184         140     0.88721           0]
[        129          86         185         138     0.85791           0]
[        128          87         183         138     0.87988           0]
[        128          86         184         138     0.89746           0]
[        126          83         183         137     0.90674           0]
[        121         117         179         182     0.90039           0]
[        121         109         177         171     0.86279           0]
[        121         109         177         171      0.8833           0]
[        121         109         177         172     0.88818           0]
[        122         108         177         172     0.88916           0]
[        121         107         177         168     0.89111           0]
[        118          97         175         158     0.87305           0]
[        119          98         176         160     0.86572           0]
[        118          98         175         154     0.88184           0]
[        119          96         175         153     0.88184           0]
[        119          96         175         153     0.90381           0]
[        119          95         174         153     0.91797           0]
[        118          96         176         154     0.88916           0]
[        118          96         176         154     0.87256           0]
[        118          96         176         154     0.86719           0]
[        119          96         177         153     0.87695           0]
[        120          95         177         153     0.89355           0]
[        119          94         175         151     0.92285           0]
[        119          94         175         150     0.93164           0]
[        121          93         176         149     0.91748           0]
[        122          93         177         149     0.91553           0]
[        122          92         177         147     0.91797           0]
[        122          93         177         147     0.88623           0]
[        122          93         176         145     0.92188           0]
[        122          93         175         146     0.92725           0]
[        122          93         174         145     0.93604           0]
[        121          95         174         147     0.91797           0]
[        120          97         174         149     0.92773           0]
[        120          96         174         148     0.92383           0]
[        119          96         173         146     0.89746           0]
[        118          94         171         147     0.88916           0]
[        118          94         170         145     0.89307           0]
[        117          94         170         146     0.90674           0]
[        115          94         169         148     0.89258           0]
[        115          94         168         149     0.90283           0]
[        114          94         169         148     0.85938           0]
[        114          93         169         149     0.86768           0]
[        115          93         168         147     0.88477           0]
[        115          94         168         146     0.89062           0]
[        115          94         168         146      0.8623           0]
[        115          93         168         147     0.88672           0]
[        115          92         168         145     0.91064           0]
[        115          91         167         145     0.90576           0]
[        115          91         167         146     0.89893           0]
[        115          91         166         145     0.89648           0]
[        114          91         166         146      0.8623           0]
[        113          91         166         146      0.8916           0]
[        112          92         165         144     0.93262           0]
[        114          92         165         145     0.93213           0]
[        115          93         165         146     0.92041           0]
[        115          94         166         147     0.90088           0]
[        115          94         166         146     0.90137           0]
