124,95,166,131,
,,,,
130,104,173,144,
,,,,
127,103,173,144,
,,,,
128,103,172,145,
,,,,
129,104,173,145,
,,,,
130,104,172,145,
,,,,
127,104,175,146,
,,,,
130,105,177,148,
,,,,
131,106,179,151,
,,,,
132,106,181,149,
,,,,
134,103,181,147,
,,,,
134,100,182,144,
,,,,
133,99,183,143,
,,,,
134,98,184,144,
,,,,
134,99,185,144,
,,,,
135,100,184,145,
,,,,
135,99,183,144,
,,,,
135,99,184,145,
,,,,
133,98,183,145,
,,,,
134,97,184,144,
,,,,
133,94,184,142,
,,,,
133,92,186,142,
,,,,
133,92,187,142,
,,,,
134,92,188,142,
,,,,
134,91,188,142,
,,,,
133,90,187,141,
,,,,
134,91,187,141,
,,,,
133,90,187,141,
,,,,
133,91,187,142,
,,,,
133,91,187,141,
,,,,
134,90,188,141,
,,,,
134,90,188,138,
,,,,
134,90,188,138,
,,,,
134,90,188,138,
,,,,
133,90,186,137,
,,,,
132,90,184,135,
,,,,
131,92,180,135,
,,,,
130,100,173,138,
,,,,
130,99,172,137,
,,,,
125,101,168,138,
,,,,
125,100,168,138,
,,,,
125,100,168,138,
,,,,
125,100,169,140,
,,,,
124,101,169,141,
,,,,
128,99,174,140,
,,,,
129,97,174,139,
,,,,
128,97,174,139,
,,,,
129,96,176,139,
,,,,
130,97,178,139,
,,,,
131,97,179,141,
,,,,
131,97,180,142,
,,,,
131,98,180,141,
,,,,
132,96,179,141,
,,,,
131,97,179,140,
,,,,
132,96,179,140,
,,,,
132,95,180,140,
,,,,
132,95,181,140,
,,,,
133,95,180,140,
,,,,
133,95,180,140,
,,,,
133,94,181,138,
,,,,
133,94,183,138,
,,,,
132,93,183,137,
,,,,
135,91,183,136,
,,,,
134,91,182,134,
,,,,
133,91,184,134,
,,,,
133,91,183,135,
,,,,
132,91,181,135,
,,,,
131,94,180,135,
,,,,
132,95,178,136,
,,,,
129,96,177,136,
,,,,
130,97,176,137,
,,,,
130,96,174,137,
,,,,
130,98,174,137,
,,,,
129,100,174,138,
,,,,
129,100,174,138,
,,,,
130,100,173,137,
,,,,
130,100,173,137,
,,,,
129,99,174,137,
,,,,
130,101,174,140,
,,,,
129,101,174,140,
,,,,
130,100,174,140,
,,,,
130,101,174,140,
,,,,
131,100,177,140,
,,,,
133,101,177,141,
,,,,
131,101,177,141,
,,,,
131,102,177,141,
,,,,
131,100,178,141,
,,,,
131,101,177,141,
,,,,
130,101,177,142,
,,,,
131,102,176,142,
,,,,
131,103,176,142,
,,,,
131,103,174,142,
,,,,
131,102,174,141,
,,,,
128,99,172,138,
,,,,
127,98,172,137,
,,,,
128,97,172,137,
,,,,
128,97,173,136,
,,,,
128,96,173,137,
,,,,
125,95,174,136,
,,,,
126,93,173,134,
,,,,
126,92,174,134,
,,,,
127,92,174,134,
,,,,
127,93,174,134,
,,,,
126,92,174,133,
,,,,
127,92,173,133,
,,,,
126,93,174,134,
,,,,
124,93,174,134,
,,,,
126,92,175,134,
,,,,
127,92,176,133,
,,,,
127,92,174,134,
,,,,
126,92,174,134,
,,,,
126,92,175,135,
,,,,
127,92,175,135,
,,,,
126,93,176,135,
,,,,
126,93,175,136,
,,,,
128,94,175,136,
,,,,
127,94,175,136,
,,,,
129,94,175,136,
,,,,
126,94,175,136,
,,,,
127,93,175,136,
,,,,
126,93,176,136,
,,,,
127,93,176,135,
,,,,
129,92,176,134,
,,,,
128,93,175,134,
,,,,
128,92,176,133,
,,,,
127,91,175,133,
,,,,
127,90,176,132,
,,,,
128,90,176,132,
,,,,
128,89,176,131,
,,,,
129,90,177,131,
,,,,
129,88,177,131,
,,,,
129,88,176,131,
,,,,
129,88,177,131,
,,,,
128,88,176,131,
,,,,
128,88,176,131,
,,,,
129,88,177,131,
,,,,
129,89,176,131,
,,,,
129,88,176,130,
,,,,
127,86,177,128,
,,,,
128,85,176,128,
,,,,
127,84,176,128,
,,,,
126,87,175,129,
,,,,
127,87,174,130,
,,,,
127,87,174,128,
,,,,
128,90,173,130,
,,,,
128,90,173,129,
,,,,
127,88,172,127,
,,,,
128,88,172,128,
,,,,
125,91,169,130,
,,,,
126,91,168,129,
,,,,
124,90,168,129,
,,,,
124,89,169,128,
,,,,
121,85,168,126,
,,,,
122,84,168,124,
,,,,
122,84,168,123,
,,,,
122,84,169,125,
,,,,
122,84,169,126,
,,,,
123,83,169,125,
,,,,
122,84,169,124,
,,,,
122,84,169,124,
,,,,
122,83,169,124,
,,,,
123,83,169,125,
,,,,
121,83,169,125,
,,,,
124,84,170,125,
,,,,
123,84,170,125,
,,,,
122,83,170,124,
,,,,
119,74,169,116,
,,,,
114,48,166,93,
,,,,
,,,,
128.8035714,93.5952381,176.2797619,135.8809524,AVG
width,height,depth,,
47.47619048,42.28571429,300,,
