51,57,
52,56,
52,55,
50,54,
46,52,
48,55,
50,54,
50,56,
50,53,
53,57,
56,57,
54,55,
55,61,
54,60,
53,59,
54,63,
54,63,
58,64,
55,66,
56,66,
56,62,
57,63,
58,65,
59,65,
59,64,
59,65,
56,64,
54,64,
54,63,
56,63,
56,64,
56,63,
55,61,
56,63,
57,63,
55,60,
56,62,
53,63,
55,63,
55,61,
54,62,
56,62,
55,63,
57,61,
54,61,
55,63,
56,60,
56,62,
52,61,
54,62,
53,60,
54,60,
52,60,
51,61,
53,59,
54,62,
55,61,
55,60,
53,62,
54,60,
51,58,
53,61,
54,60,
52,59,
53,58,
54,58,
52,58,
53,58,
52,59,
52,59,
53,61,
56,61,
55,62,
55,62,
56,62,
55,61,
53,60,
55,60,
57,57,
56,61,
52,60,
53,61,
56,63,
53,58,
53,59,
55,59,
56,62,
55,61,
56,62,
53,61,
57,61,
57,64,
56,62,
55,62,
54,63,
58,62,
57,62,
57,62,
58,61,
57,60,
57,62,
58,63,
59,65,
58,67,
61,65,
59,66,
61,64,
60,65,
58,67,
63,65,
58,64,
62,65,
61,67,
61,68,
60,67,
61,68,
60,67,
63,69,
62,69,
64,69,
62,68,
63,68,
62,66,
61,67,
62,67,
62,61,
62,59,
62,66,
64,64,
62,66,
59,65,
63,64,
65,61,
62,66,
62,63,
63,64,
65,66,
65,65,
64,65,
61,59,
63,65,
66,65,
61,62,
60,65,
64,65,
63,66,
62,64,
62,64,
63,65,
61,68,
59,63,
62,64,
62,66,
62,64,
57,58,
58,62,
60,65,
62,65,
widht,length,depth
56.9936708860759,62.2405063291139,180
