80,116,169,206
,,,
84,113,184,207
,,,
116,113,235,208
,,,
116,115,237,208
,,,
114,115,241,208
,,,
106,111,246,208
,,,
102,108,247,207
,,,
96,104,240,206
,,,
87,100,242,207
,,,
86,98,244,207
,,,
87,97,244,206
,,,
85,96,238,204
,,,
85,96,236,207
,,,
82,94,239,205
,,,
81,92,241,206
,,,
77,91,244,207
,,,
73,91,249,208
,,,
74,92,246,205
,,,
76,91,239,200
,,,
72,89,234,200
,,,
66,88,227,198
,,,
66,87,224,204
,,,
67,87,227,206
,,,
60,87,235,206
,,,
56,86,242,207
,,,
57,84,244,205
,,,
49,83,247,205
,,,
52,80,242,204
,,,
54,81,230,200
,,,
51,80,225,203
,,,
44,78,217,203
,,,
30,70,223,207
,,,
14,66,234,208
,,,
14,60,242,208
,,,
4,23,233,202
,,,
9,0,228,155
,,,
4,0,237,119
,,,
1,0,215,192
,,,
0,8,210,196
,,,
0,11,202,194
,,,
0,10,200,196
,,,
0,13,190,202
,,,
14,27,195,205
,,,
30,42,201,207
,,,
42,49,203,205
,,,
45,57,207,204
,,,
51,59,203,206
,,,
53,63,202,206
,,,
55,67,204,206
,,,
55,71,204,207
,,,
51,74,202,206
,,,
48,74,198,206
,,,
49,77,194,207
,,,
49,78,196,208
,,,
50,81,200,208
,,,
44,82,203,208
,,,
47,82,204,208
,,,
44,79,203,206
,,,
37,75,204,208
,,,
35,77,210,205
,,,
31,78,216,205
,,,
30,77,218,205
,,,
27,75,216,206
,,,
21,74,217,205
,,,
20,76,215,206
,,,
27,81,214,206
,,,
28,84,211,207
,,,
34,88,208,208
,,,
33,90,207,208
,,,
32,90,207,208
,,,
33,100,215,208
,,,
32,102,218,208
,,,
55,92,238,208
,,,
39,88,235,208
,,,
49,91,234,208
,,,
49,90,233,208
,,,
41,89,237,208
,,,
37,89,240,208
,,,
34,93,243,208
,,,
44,94,244,208
,,,
50,93,244,208
,,,
51,92,245,208
,,,
59,94,243,208
,,,
64,97,246,208
,,,
68,99,247,208
,,,
68,99,245,208
,,,
66,97,245,208
,,,
61,97,245,208
,,,
62,98,244,208
,,,
63,98,240,208
,,,
64,97,237,208
,,,
63,95,236,208
,,,
64,94,236,208
,,,
66,95,236,208
,,,
64,93,236,208
,,,
62,93,236,208
,,,
60,90,237,208
,,,
61,89,237,208
,,,
63,90,240,208
,,,
62,90,239,208
,,,
63,90,237,208
,,,
66,92,238,208
,,,
64,92,238,208
,,,
63,92,240,208
,,,
60,92,243,208
,,,
59,91,245,208
,,,
61,92,245,208
,,,
63,91,245,208
,,,
62,90,245,208
,,,
64,89,245,208
,,,
65,89,246,208
,,,
61,89,245,208
,,,
56,89,247,208
,,,
52,89,250,208
,,,
44,88,254,208
,,,
38,86,254,208
,,,
42,84,259,208
,,,
47,85,261,208
,,,
45,86,262,208
,,,
31,87,266,208
,,,
27,86,271,208
,,,
27,84,274,208
,,,
21,79,280,208
,,,
21,76,278,208
,,,
20,71,275,207
,,,
22,66,269,207
,,,
25,62,266,205
,,,
24,69,271,207
,,,
22,73,271,208
,,,
23,74,278,208
,,,
25,69,281,207
,,,
45,46,284,205
,,,
47,37,282,205
,,,
45,27,272,204
,,,
42,25,268,196
,,,
35,23,268,195
,,,
36,17,269,203
,,,
34,6,270,181
,,,
48,0,280,208
,,,
44,0,278,206
,,,
44,0,287,204
,,,
43,0,284,208
,,,
44,0,283,208
,,,
44,0,283,206
,,,
39,0,295,183
,,,
41,0,297,186
,,,
53,0,313,196
,,,
59,0,313,201
,,,
60,5,313,207
,,,
54,9,312,203
,,,
58,12,304,200
,,,
63,13,312,203
,,,
64,14,316,205
,,,
67,18,314,206
,,,
64,25,313,205
,,,
57,18,315,207
,,,
51,9,315,208
,,,
52,0,316,206
,,,
56,8,316,207
,,,
65,19,313,205
,,,
54,25,309,204
,,,
35,21,297,207
,,,
27,15,292,208
,,,
20,10,296,208
,,,
14,13,298,208
,,,
14,17,292,208
,,,
11,19,285,208
,,,
13,14,287,208
,,,
20,14,287,205
,,,
25,13,292,205
,,,
35,13,299,208
,,,
50,15,313,206
,,,
60,15,315,206
,,,
62,13,316,208
,,,
62,11,316,208
,,,
61,9,316,208
,,,
60,3,316,207
,,,
68,2,316,203
,,,
65,0,316,206
,,,
62,0,316,206
,,,
58,0,315,207
,,,
55,0,316,208
,,,
59,0,316,208
,,,
57,0,316,208
,,,
59,0,316,206
,,,
61,0,316,205
,,,
57,0,316,201
,,,
52,0,316,202
,,,
54,0,316,205
,,,
50,0,316,207
,,,
50,0,316,208
,,,
47,0,316,208
,,,
45,0,316,208
,,,
